10000 50000
2186 30 25.9102
5321 6335 38.4166
635 7125 14.7535
149 1179 38.6768
8050 3991 59.2443
57 5481 28.9772
1650 8187 33.3413
392 167 13.7887
7836 1046 29.3479
2637 3254 71.7252
7374 3454 7.98149
886 972 37.3121
1863 8096 87.8009
2054 8239 35.7058
7624 3314 62.2234
7352 9472 46.424
272 549 1.94136
6497 4091 62.8103
1159 1898 20.4285
9553 8782 73.7374
7481 6204 77.0839
4462 1399 32.2298
4585 2353 42.7814
285 5196 31.4536
6589 37 27.7271
7750 8294 55.7098
8623 6480 10.5814
2485 1396 5.42187
1623 7574 88.7407
1862 6010 45.236
8947 8765 54.9207
3689 5224 56.4721
9168 5092 76.1286
344 899 3.96969
1997 3117 75.6247
6128 7028 40.5131
6735 5576 44.1281
7230 9014 64.8713
8156 8459 24.4996
3074 4918 8.96908
9489 2907 88.407
6994 545 62.8569
3792 2677 10.9741
2407 7234 20.3193
1025 6308 32.3426
3062 2375 76.531
5033 9880 75.5386
6209 5124 49.5718
2277 5611 57.8798
9729 8535 31.9587
4357 6270 75.9846
4946 678 59.6874
1873 6803 67.6195
4963 9004 45.5306
8663 5251 2.81955
9725 9114 44.4104
7464 8550 62.467
4832 9990 8.10832
6663 181 94.7391
2637 2211 44.6472
747 756 53.5459
7091 860 4.40883
1550 5006 77.0207
3749 1969 62.7787
6351 6040 3.97137
9086 3270 26.8326
5825 6808 2.61676
3270 6583 39.4504
9479 723 7.83098
5810 7997 4.50074
8314 9592 32.3746
1450 272 92.5461
9189 4228 92.897
9684 9149 59.5434
717 488 70.1811
3159 954 26.6111
2157 6557 87.5551
6295 3923 18.1467
5402 9128 22.3105
422 923 84.6981
9058 4358 87.542
9379 3524 57.5972
2240 7801 98.2752
5511 3695 50.8199
7767 2287 63.5847
3855 6787 26.6697
1814 4836 75.9807
5189 5905 30.046
7433 8038 84.9778
104 7258 64.2611
1178 8889 71.582
800 5839 98.819
7168 5503 43.4044
4822 2645 88.2972
652 6818 66.7236
2805 1140 20.6897
8326 7445 45.9374
2716 8934 13.6466
3592 1133 73.3162
4548 6414 3.72896
6421 1538 56.832
6808 7312 15.124
1309 8763 20.4503
6657 2604 91.7731
5564 8328 23.2467
9196 9192 92.4688
9540 3291 8.26654
9509 3618 58.6233
7409 3927 73.0166
408 6736 63.8052
768 4210 3.84806
9797 219 49.3779
9531 1093 78.1134
6791 4984 96.8604
3784 1929 68.037
6977 5730 41.0832
1187 3351 78.488
1088 1358 9.00704
1655 269 50.2731
4517 5056 18.4919
5935 8351 74.993
2772 414 67.9533
2769 1495 0.708427
1543 663 44.4965
3328 7580 64.3894
3217 2945 64.6318
4726 2566 57.1425
2360 4683 76.9923
7676 322 95.4485
4746 4548 97.3351
5193 912 82.0439
5367 8664 18.7299
5627 4410 3.96008
7586 5580 42.7548
3893 9765 47.7211
1358 9020 70.9797
838 2736 63.4348
3238 9666 81.9709
4463 5378 30.2978
2698 3710 55.8124
9334 1762 3.08225
485 9948 96.7843
7975 3173 70.8356
2290 7443 47.2042
969 240 46.548
2296 6582 16.3342
8650 2882 31.1396
5537 3412 84.6984
5262 789 6.34
4428 1246 53.5174
9037 9934 81.9054
2721 5406 59.1002
3612 4418 31.1884
6388 8395 28.0443
3579 8274 42.6813
5456 9197 99.3153
2218 3284 59.6858
9174 2541 29.0942
2695 5724 15.027
4311 8807 24.8041
4958 9546 35.1424
2165 4782 39.1839
5348 4088 37.3521
4031 5320 47.7357
2834 4051 15.5913
7580 5544 20.1638
2977 7224 82.9183
1048 2479 41.8258
1733 7400 71.4388
5849 1949 2.27535
1651 6238 37.9379
3629 2336 48.7478
4385 274 38.1244
1808 3820 66.4896
2110 3179 59.4116
2680 5598 25.8499
8661 5277 71.8882
5572 8968 37.0789
1352 3660 93.3954
6229 7193 65.3727
3730 7159 85.4502
4523 5835 90.2631
2779 5704 85.4016
5044 9805 43.5543
8522 246 78.7517
3573 9153 12.2944
1320 1861 19.4857
1598 8979 93.5151
278 6134 91.5505
2436 1412 75.6986
9217 9551 91.352
7537 6802 62.7915
1180 9855 61.2369
984 5359 97.2602
1595 4671 36.2067
5026 8507 96.4124
7407 7347 93.9494
9413 330 63.3586
8221 7042 1.38401
8621 1544 56.215
484 8523 96.2784
1791 965 21.9254
2397 4108 67.1648
9749 3995 61.6564
1262 2609 45.0059
7203 1385 47.3408
248 2264 99.9613
9422 8030 10.1442
3371 6670 81.1207
4173 2891 60.2434
3289 2374 80.1781
9361 2393 59.0302
1696 7968 32.1165
1301 3307 21.7662
4327 1680 75.8892
602 2882 98.1358
4508 8514 1.81082
9780 2479 41.1471
9093 8975 28.1424
6177 4520 79.0182
1255 749 93.1287
7805 1854 87.4104
5967 8990 17.763
7516 20 47.5637
8295 4331 22.9535
9245 2112 99.1937
2431 8370 14.4343
5823 3084 20.3698
6116 6958 61.1129
1889 6588 87.3704
5048 6652 51.755
4144 567 30.4929
4711 1961 91.4779
2010 8248 27.4239
4886 3453 39.4283
7062 5914 82.8293
5062 3973 32.7244
8272 9445 72.4425
4687 2132 93.907
6798 9629 50.9118
7351 35 52.5882
4148 6190 57.7899
267 3888 44.4625
8743 8846 6.73236
6534 373 90.6246
2005 301 91.6452
7933 9097 49.695
6424 8973 35.8735
5225 4162 0.467833
9624 7247 38.7643
7017 5891 28.1337
3923 6208 78.3222
2975 6531 35.8971
1612 8191 22.1904
6888 7139 12.9377
7764 7877 5.43127
2967 710 21.2618
771 1703 35.564
1540 3046 39.7372
4420 1211 22.7101
1669 9143 51.502
4850 8424 74.9692
7756 30 73.2594
2656 6429 25.8625
62 6526 49.8583
2419 8009 0.630462
9688 5711 34.6096
8692 8415 7.32698
7707 5036 19.5965
4065 4498 97.7021
8673 4989 54.6182
4274 460 56.1527
681 3512 25.9673
3794 4870 93.6938
7940 4792 66.6912
4029 6176 18.7029
4738 6350 1.15654
3283 1200 94.9384
4784 7676 13.5766
4241 6598 34.6392
2889 1258 89.2455
8337 7540 13.9047
4003 4545 48.6938
365 5798 34.388
3698 4643 88.484
9272 9911 13.7128
8859 656 37.9408
2184 249 49.3396
5876 1181 57.5608
8576 7477 71.2204
2374 598 96.5539
6646 8509 52.8327
8092 5557 25.1919
723 2185 31.7389
8478 3880 35.9342
370 8032 23.256
2880 861 94.7648
6673 9041 13.7936
2683 1076 25.707
463 5665 30.656
6965 9964 20.2114
5029 4246 80.6978
8965 4394 90.5683
6551 5587 78.1226
8068 1584 80.2294
3640 9562 67.3608
762 5956 42.8123
9509 4290 62.9405
7755 4717 0.118583
6510 6066 79.887
4923 9682 33.6657
2065 7398 92.2888
4003 546 71.1205
9775 8155 94.0306
3200 1741 83.8288
4983 7177 80.2389
20 4591 93.6508
1791 9518 45.1455
4717 4332 92.1008
2432 1261 68.3797
5485 3850 3.88309
40 2949 6.10559
9318 5560 57.0523
3333 517 73.1408
7533 2763 68.448
7283 3950 29.6545
4788 7749 31.1291
7773 5602 54.0589
2199 9264 52.1141
7780 1836 92.4107
5415 5257 67.473
7763 3558 86.876
7488 2188 8.88782
4816 7893 69.068
5124 9492 90.9537
5237 9629 82.4045
8329 6274 43.5447
2386 9248 45.5358
8890 4817 37.9742
1865 8894 50.0315
4637 5670 47.3942
2888 6565 45.3121
316 7298 41.8568
6110 8338 46.284
7502 7762 98.4116
9309 4509 32.2801
2998 9904 36.217
8830 6468 91.5289
2686 2132 81.4102
7963 3957 74.4025
7741 2062 42.3171
4284 1202 83.2455
6612 7873 4.6848
151 7241 70.3935
5389 3523 66.5582
716 4848 55.1777
870 201 59.0328
1901 5686 57.2933
7711 4392 41.4817
3614 7147 66.1987
7581 3007 68.3015
2186 2601 38.6786
1031 1317 52.7618
2913 8391 10.0647
1915 5239 83.062
6880 4698 61.9711
2618 8922 28.3272
502 5174 86.4386
8237 3302 60.2907
5389 8697 64.2478
6230 2578 23.2214
4745 104 86.3311
9524 4249 26.57
3068 8079 52.7494
7684 1025 61.6261
8891 9199 46.8347
4782 1692 0.565651
4827 1840 31.1134
668 7777 35.4562
6108 4038 37.8507
6425 7467 66.4563
685 6702 50.3523
3108 5906 53.2575
8432 755 86.3614
9936 2187 58.4488
756 3353 21.0585
412 4273 67.9227
5258 3409 57.9217
3591 964 97.7267
4728 5909 93.4059
8547 6591 91.6931
4698 6131 57.5902
3771 5661 74.3545
7402 3093 33.2089
4824 1659 15.3328
7603 1799 46.5105
1030 1020 55.1766
9704 5333 1.17495
4966 7781 55.1141
7382 4459 15.4752
1382 4907 95.3995
9942 3135 49.4109
2473 389 63.0096
8540 7227 89.1777
1931 5823 88.1548
1311 3304 39.6783
2887 4941 40.9909
905 5473 38.9309
3127 3767 33.8446
2113 9519 35.2036
3366 1775 22.5331
5341 1866 45.1736
2736 7021 44.3912
2002 4720 45.7057
8458 1054 59.0369
548 4354 43.0079
7197 6726 45.1897
2049 9335 16.4883
6465 1238 51.9047
5242 6244 3.1991
2248 577 44.0006
9377 2072 91.9468
9103 3810 12.1119
2515 6123 81.3565
628 9596 33.6146
4475 5111 94.1319
6206 3751 76.9824
5052 7179 34.5224
7117 2173 86.1238
872 8446 46.6888
4899 471 29.0599
2244 7645 10.607
9464 5655 99.9459
1231 2517 91.196
3604 9221 38.3681
2984 4487 87.5167
9034 6004 55.7475
6513 3146 65.561
1113 2669 11.8624
2587 8796 16.2857
1032 1230 76.4029
6860 4507 72.3445
6065 898 75.6868
2003 295 8.99067
8858 6729 24.9157
1385 1709 90.2015
8469 9234 20.6848
2308 6440 52.602
152 721 66.1112
3774 6877 41.9708
5428 1963 21.1507
3581 5656 39.8824
2689 8296 76.0239
3194 9733 21.8605
3486 2688 56.2152
3171 2319 7.78174
1356 3345 11.9462
8385 3130 51.4154
5824 4760 61.5754
5629 6099 61.1791
69 7482 36.3483
1518 1897 4.53232
8043 7828 27.1387
2119 1821 20.5369
542 8107 92.8427
1140 4258 10.1064
1477 2112 43.281
4641 6926 58.2027
4566 8241 44.7029
6353 2905 69.9185
495 3186 61.0733
4366 7796 61.1522
2836 537 43.5403
2182 8219 8.08502
843 8412 83.8812
4905 2390 11.0588
1193 9624 77.1116
5318 6073 25.9378
3428 2467 85.0019
2460 5495 53.7137
6595 4443 47.8924
2316 5951 51.6129
308 4317 20.54
5398 3501 39.5164
2356 2624 91.2216
6939 151 27.3944
2590 3116 44.7483
7418 9920 54.9846
1132 9541 15.7898
2440 7018 77.2326
1236 7530 83.994
2397 4597 0.882111
238 4886 71.9889
7009 2995 41.2893
2849 9514 25.8952
8448 6328 79.5168
681 2017 33.4346
7571 9689 21.2378
2643 4564 96.9531
6173 5635 49.5176
9728 4149 83.1204
3962 6914 88.6231
9911 3505 69.211
4062 5996 90.1286
8661 4773 62.2828
5374 4706 10.1777
2453 1837 45.9412
620 8795 73.2737
7126 3736 30.0853
8326 785 17.0916
2281 5750 24.9693
7342 1716 40.2785
2436 1642 86.1942
1555 6056 68.4294
9914 5379 23.8259
8522 8450 94.2095
470 6059 25.759
7072 3659 34.1034
4094 4617 72.6519
3031 4970 6.83647
9581 9103 17.3458
9420 7297 90.1496
5877 2723 13.8589
4285 5685 53.7388
7786 335 24.8354
3684 4844 27.1323
3243 9214 97.0571
929 2831 26.1374
5142 861 78.6537
7653 2650 15.1162
3539 2196 79.1848
4441 6257 92.3823
9042 4442 49.5359
7921 7300 91.3612
7844 9197 12.4074
1867 4383 11.7288
255 9935 24.7726
5578 1372 29.9925
198 2092 69.31
4919 4576 11.969
8577 9109 30.1969
5551 8839 60.4937
2053 245 39.7188
5437 1176 74.2197
1283 7069 52.5349
8589 1867 1.71087
5757 2975 85.3395
4300 3117 45.6511
9056 3511 68.4114
5933 7537 16.944
3217 7373 10.3957
6593 871 14.7805
7113 3585 93.694
6350 4600 24.5119
1638 3022 40.3849
4112 6258 8.19905
8140 8127 29.4091
810 8702 79.9289
6917 134 37.2145
6109 8370 45.4759
6929 8411 72.1175
2556 1129 61.5651
4879 7806 15.0335
483 1573 73.7202
4829 5446 94.9993
5209 781 27.1173
809 4215 41.2376
5204 6057 27.5877
1687 4600 32.8758
1688 2594 63.0835
639 2883 51.7591
1804 4690 92.9121
2891 4859 42.1057
1561 5097 17.5863
6295 5797 62.3762
2758 6949 48.6755
8219 8383 79.5758
2014 356 33.6105
1433 6985 31.6389
3399 9829 96.3824
3624 9053 49.2583
7514 8865 65.5696
9563 4763 68.1137
7974 5192 66.3664
8384 8961 38.2488
9596 9797 19.1313
1764 6119 86.1246
6875 5496 68.6225
6751 7518 17.4525
3894 5018 64.7853
5412 1800 23.1268
3845 523 41.056
8183 3442 46.5615
7962 941 95.3218
3223 6671 8.30844
1021 1107 78.531
2310 6006 39.083
100 7911 4.46818
4312 1191 43.1411
1496 5656 56.0179
882 5432 19.1503
4087 7579 80.5787
7537 2819 59.3403
4100 3824 19.148
7305 8782 4.92816
1127 3464 10.1117
4354 1499 86.0406
2002 796 99.6142
5344 4159 56.5878
5278 7150 66.7124
3513 6830 24.8913
7107 4945 77.141
6834 7226 23.8734
8614 7188 4.0189
6199 3791 35.7972
1286 4573 13.3119
2189 7315 96.4993
8600 9300 66.6236
8485 6563 66.9833
4523 4656 59.979
6178 4888 28.7618
7198 755 69.7709
5924 5786 37.4512
8370 5739 71.9171
8441 1482 49.9907
9166 8825 89.682
3152 8577 13.8694
3271 4833 96.9989
2664 7849 11.1367
1851 420 76.4166
2204 7655 71.6646
7408 9441 17.3107
9423 4632 25.4308
7034 5649 55.5341
3340 7947 67.3577
338 8497 48.9005
9544 9303 87.3402
3295 34 6.83796
9175 4952 21.9603
3999 6179 79.8036
5845 4445 18.6967
3571 9759 66.5152
6182 9359 62.4512
7542 3706 3.67148
4295 7771 16.3883
244 7606 88.8889
4259 4921 55.3514
7508 5763 95.4139
7878 2643 80.2245
3847 6198 48.9494
8703 7128 22.0121
6302 9741 29.4818
5853 4895 28.2573
2866 5316 70.232
1178 2440 27.0363
4377 8751 60.8174
2002 9092 68.0021
8645 3590 97.552
9799 2600 17.8962
6962 8093 16.1881
1913 517 62.4964
5766 8295 67.3042
3029 4251 39.9416
1233 7708 91.1383
1852 638 34.9718
8170 8597 34.8491
3377 5198 12.1082
8624 2079 9.3661
6262 2508 70.5357
6392 4939 2.9653
4346 7644 1.92306
6257 8014 45.0678
4433 1174 72.5784
7238 253 1.18402
4814 3245 97.73
1131 2585 0.319757
9997 8440 69.5309
9322 9196 41.3966
1920 9721 28.9074
9155 7199 26.4671
2632 996 3.93235
6963 3538 56.8942
9098 0 70.1982
376 3074 4.18022
8397 1408 20.4984
8179 6811 53.3197
7845 1975 80.8976
5804 1699 55.9539
5976 3247 91.378
1354 5481 42.1572
991 5377 44.2589
775 8789 23.3555
3922 9296 63.0273
8226 3777 95.6609
4870 1785 87.085
3632 2705 31.3993
4917 1642 30.2776
7525 1156 78.0293
9315 2512 60.2022
1840 3140 21.7959
3145 9796 24.6804
5046 8256 21.4785
4450 2896 11.6726
8944 7715 98.4175
1241 1358 24.5598
1447 4551 99.0051
1805 2437 45.1585
5590 3168 39.503
2885 5614 33.0414
7038 5443 38.8779
4787 6063 14.6011
285 3368 2.07688
9934 3489 15.0364
7222 9707 17.9411
3218 9281 45.1675
2980 9618 72.9421
9093 1645 21.5716
3329 9770 61.3482
7348 5120 98.1799
3195 5375 72.0986
3036 1308 60.8054
5258 7631 66.738
5515 9525 38.1294
2914 2839 98.655
4177 4343 23.4879
5164 3162 91.8145
9563 5721 66.6339
2262 1615 21.5107
8255 8933 69.5283
7437 4086 29.1816
8647 6998 50.5028
679 8494 22.8841
6409 5442 48.8183
7682 1370 74.3407
8045 3981 59.5146
8879 2333 64.8765
8461 5399 96.6882
9568 7406 52.9023
7086 5673 36.9525
8997 2080 40.5184
2930 4465 40.4546
6402 289 51.1288
6950 9101 4.5974
8214 5524 98.4561
6747 2791 66.0039
8831 1273 52.9391
7659 6826 66.2659
877 3214 25.0715
4221 4648 9.62805
9046 6304 16.9861
9973 1400 14.5197
2723 1564 16.2654
9953 8251 38.9149
6107 2098 86.4342
6472 4388 52.6392
7671 7871 39.7986
7404 2874 16.525
3348 133 24.6294
9057 7634 24.6689
8546 2265 68.5353
7646 6917 99.5735
7613 1388 54.7022
6074 3438 0.704063
2959 8912 5.18212
5978 9568 21.1277
682 5216 20.6863
5129 6867 73.5852
7370 5028 4.41746
1325 4601 35.2001
7957 4755 30.5828
2969 2993 22.5091
3341 3869 46.538
1334 9770 34.0183
5298 2721 60.2523
4612 2155 45.7354
4961 5402 51.9212
6382 8744 94.2956
5400 5863 65.5222
7956 97 75.1224
9934 4269 14.9191
1912 1994 29.191
2766 6009 17.6349
9434 7547 83.0339
7062 1911 36.2156
7325 7921 28.176
8194 4868 36.6891
3307 6210 22.8072
3289 5030 31.1581
4304 1282 45.4973
7980 8425 29.5715
4774 5728 40.0285
6519 6179 19.784
5397 6096 78.7982
8886 5286 44.4413
1697 2733 28.0669
9047 3117 10.0857
5579 4795 18.2273
5340 5393 95.5194
4524 7161 8.19498
8005 160 21.8781
3023 6184 71.5943
4796 6463 26.8959
8084 430 7.69646
3451 1438 11.214
5172 9200 73.9368
6968 8231 60.1972
3415 6711 69.6287
1129 3198 57.3158
5348 3442 52.9763
7430 4653 97.9491
777 9928 80.0977
8451 8474 74.3224
8037 3625 48.1202
596 103 67.8626
5711 5518 73.9122
7673 3633 77.8262
5384 2403 54.8455
4644 6196 31.7576
2302 2727 37.3188
5817 8182 65.2634
4959 1975 18.4518
6512 7211 8.39262
7555 2325 4.99646
1524 705 20.3386
5540 2179 11.3255
1012 3740 19.8225
45 6617 26.0024
1834 2252 77.2267
9057 7882 1.05654
9574 8028 52.0223
6622 3187 38.2967
1179 280 63.9551
4626 2567 23.1783
5432 7583 47.8377
5541 8209 15.6593
4673 9535 23.2377
712 7587 33.9535
7279 4214 78.3981
5059 289 18.2185
2178 9966 7.99118
5840 3597 55.3952
141 3533 84.4827
1717 575 51.0172
7762 9793 12.8783
3613 4672 82.4725
1647 330 98.7366
4626 1426 4.97474
3393 6791 41.9611
4113 304 72.7492
7914 2257 6.72571
4500 9102 75.2999
5585 4089 21.198
5422 6866 97.4353
7070 1120 28.6815
7640 3493 13.3312
5789 6696 73.8946
1554 6981 38.3019
3080 1123 64.092
5760 4902 86.6037
6627 247 48.1998
6227 14 34.9534
2735 935 39.1987
1126 1409 81.5623
2321 8085 42.9941
7673 4350 9.54783
4309 6687 29.6199
7140 3126 44.8472
2087 4516 98.217
2776 5676 65.027
6614 3662 29.5924
7971 5215 70.1132
4286 1740 63.6485
3520 130 21.9849
4325 5898 57.1524
5038 6505 4.99457
5911 3794 91.7199
321 6293 44.0133
8747 7373 66.5182
418 3200 23.6487
6999 4445 5.00563
6452 9365 20.4284
1289 3896 73.9435
6100 5452 47.9125
6410 474 98.0876
7554 2749 84.0633
882 3382 89.8608
2396 3103 36.8364
955 4807 85.2919
4925 8087 70.5255
2139 8853 27.3601
9654 9897 43.6582
6063 4254 59.452
2892 5024 99.1688
4686 836 86.2094
7098 3068 99.4436
2305 622 92.8623
2638 4472 13.4331
1457 3685 18.8631
8930 7713 0.432539
9011 128 14.9829
6207 6425 20.7018
3465 2615 68.2748
1636 9028 71.3519
3821 5409 83.9596
2483 5622 45.3304
6621 351 74.6725
87 9550 33.1188
5037 1669 47.0306
5951 3526 36.5049
3865 9807 45.9942
4176 4229 88.7883
973 8739 2.03604
5871 7798 6.71142
3125 5423 7.14103
9537 4283 8.39741
2638 2707 80.1822
8145 4165 51.8009
6135 1496 60.7128
2604 8140 59.5308
6202 8257 34.5545
1851 3955 79.4261
5924 9601 97.654
9142 4038 49.9752
5738 4104 63.572
7326 5638 84.2394
7242 8100 83.1321
3153 6394 69.0986
6366 6470 17.3992
470 1264 43.1126
4733 4180 47.9005
2193 3567 15.5119
4162 8596 11.0773
4489 8569 64.8781
9693 1969 43.9355
9592 7817 73.89
2484 8148 63.6631
5975 6058 80.4914
4890 8409 36.4852
5675 8617 71.8492
4064 6749 95.2579
3880 6553 79.4827
9540 2464 9.05668
5299 7943 84.8094
1065 7985 97.0991
7216 2619 19.4834
8403 1189 86.1699
7815 3994 31.9226
8489 2607 37.9819
20 8382 30.9908
6427 1962 65.9121
1872 2625 90.1898
5505 8571 73.8175
9277 7416 93.9617
3326 7317 35.5801
316 206 60.123
9517 5162 97.4425
4446 7701 5.7933
6540 8000 16.7103
5912 1192 32.0507
2847 9080 5.50237
2175 4978 9.08324
8234 2450 79.4703
4607 2849 11.4542
910 7930 22.3234
5440 3107 95.2694
2509 6363 30.1237
9654 1283 34.4001
5324 8761 99.6038
559 5620 63.1989
6006 7577 81.4535
5187 9288 13.8051
7465 3051 82.2293
4669 4825 12.7615
361 1950 67.4316
4785 8121 45.9396
227 6735 79.7173
2046 3164 92.6251
5668 1108 26.3027
6113 5182 8.32646
1219 3531 70.0175
8802 1292 98.1114
3225 3929 24.7143
9846 2003 58.3673
1239 2811 1.58004
903 2316 24.3477
7577 5558 31.2258
6540 7965 86.6118
8200 5282 32.061
5850 6295 71.2135
4942 7700 11.7016
5705 6097 45.6342
3857 6586 44.2398
3091 477 19.8069
4796 8356 27.059
9741 3637 95.4078
6857 3699 9.9627
5280 3744 71.8059
7598 1358 11.084
6892 3695 64.8349
2608 1790 85.7962
5476 6830 54.7163
2675 8824 56.4353
8961 3190 23.921
910 3908 51.9028
9457 6225 90.0636
7850 3832 29.6735
3874 5162 92.9615
4582 4854 91.7605
1978 9630 26.465
5383 3878 69.2136
39 6210 33.4402
1986 5 57.3218
3440 8440 5.5493
1353 4001 69.1211
1804 5078 12.4968
8377 9686 43.5757
2418 778 63.257
241 4219 2.67499
9626 4854 55.5108
3440 2374 24.6029
9186 7098 99.3137
5438 665 66.7494
8676 6786 80.3337
214 8978 53.7255
6476 4283 87.0378
9995 2540 4.20741
5641 3084 70.2774
6702 7015 44.4629
607 3559 27.9704
598 9075 73.5859
6896 6755 86.3799
4893 4775 13.052
3433 6089 62.9921
718 3105 39.8317
6539 744 47.006
7501 5468 47.6789
9310 2899 15.1298
3071 4569 14.6664
8508 3124 25.2128
99 8629 34.3087
8153 742 7.44467
5716 2609 44.9641
8788 2756 23.6833
2098 3511 92.8292
2373 1566 23.0998
6451 1800 38.3559
5046 7817 96.5764
2431 7789 24.5535
5400 8959 7.68016
307 1771 92.0441
8176 6714 83.1697
6699 7177 18.1236
3456 2076 77.6095
2749 9340 18.0173
6212 1842 53.7035
9319 3632 70.2649
4963 6207 6.50678
993 7624 76.2709
7585 6797 95.3351
2312 7986 19.1654
7831 8680 68.889
3161 6062 22.1297
4660 7942 72.8266
4551 6580 80.5917
8541 7808 56.3179
2538 6752 19.0714
6894 2850 16.9237
4382 1993 6.74809
5832 1526 87.1008
2007 1621 69.5756
9603 8344 41.3345
8721 9687 33.6786
783 7242 49.872
9068 2564 36.76
9556 5099 99.5685
2607 2418 36.6
4057 6764 7.45451
8568 160 92.1753
8561 9146 0.650876
5586 8616 42.0896
5067 4320 81.8441
9689 7613 29.3408
902 3479 24.9677
1248 9212 71.9983
7302 2187 23.3437
7314 4718 88.2965
4617 9910 68.2283
174 4902 85.5708
3325 5359 81.1092
9506 5635 2.94316
5317 5143 48.2719
1525 3198 12.7267
2957 8783 11.868
8396 401 81.2361
5170 7123 10.2919
6699 6234 59.5548
2137 1099 94.4567
2723 4090 83.7507
8842 6004 92.066
8055 5582 35.7864
1946 9568 67.5688
5210 2932 5.51422
9296 1940 56.3436
4625 6473 95.3272
1870 6869 85.8869
293 4349 89.2299
2057 9769 12.2797
194 5687 71.5081
260 4782 79.7046
9614 5875 27.3519
6403 5979 84.3657
1524 258 27.1894
9354 943 2.23841
1528 3126 14.5544
4437 6245 38.3889
1906 2626 33.2527
8698 5719 71.1401
4334 1812 86.6103
9399 6399 98.3985
9156 6341 37.767
3541 4674 99.1115
9049 3074 40.5769
8963 1544 16.0325
782 2313 11.6886
1171 4235 95.1832
5342 9431 51.2733
9034 9835 65.6727
9925 9180 45.0669
5262 5287 97.0368
4570 5047 91.7559
9147 5145 53.3372
3297 7007 80.7291
3582 9853 35.2533
5623 4284 84.5842
9055 905 78.1877
4963 6673 7.36731
6373 2347 15.1687
1939 6538 24.4681
1327 577 1.59264
3070 6163 79.3908
6444 6488 26.5214
4883 8051 39.3628
909 8017 80.9548
4897 3853 80.0801
1478 4166 39.4092
9314 9213 76.3713
3287 6287 52.971
6860 3760 79.7033
1865 9381 23.8048
2383 3522 68.3317
794 7985 3.29835
733 8216 16.0462
9996 1685 13.4149
2131 1766 44.7044
1566 2133 91.7665
4145 5432 66.0703
2847 7660 85.0928
7226 7198 4.59162
1499 6440 94.8685
549 6335 67.2244
7123 2871 50.1437
